date,time,taxi_count,queue_length,day_type
2023-12-16,06%3A07%3A00,19,72.53874610438723,weekend
2023-12-16,06%3A08%3A00,15,78.19160720138981,weekend
2023-12-16,06%3A09%3A00,15,52.0624394660071,weekend
2023-12-16,06%3A10%3A00,20,92.0216455307524,weekend
2023-12-16,06%3A11%3A00,12,0,weekend
2023-12-16,06%3A12%3A00,14,76.7456275698008,weekend
2023-12-16,06%3A13%3A00,9,42.43933385815482,weekend
2023-12-16,06%3A14%3A00,8,40.12684870033631,weekend
2023-12-16,06%3A15%3A00,8,44.426388843191035,weekend
2023-12-16,06%3A16%3A00,16,0,weekend
2023-12-16,06%3A17%3A00,12,77.67303773099928,weekend
2023-12-16,06%3A18%3A00,11,66.61217301856117,weekend
2023-12-16,06%3A19%3A00,0,[],weekend
2023-12-16,06%3A20%3A00,13,71.42312077743048,weekend
2023-12-16,06%3A21%3A00,10,56.531153448855434,weekend
2023-12-16,06%3A22%3A00,8,24.98358172708393,weekend
2023-12-16,06%3A23%3A00,11,50.37036731240759,weekend
2023-12-16,06%3A24%3A00,0,[],weekend
2023-12-16,06%3A25%3A00,18,0,weekend
2023-12-16,06%3A26%3A00,10,0,weekend
2023-12-16,06%3A27%3A00,24,0,weekend
2023-12-16,06%3A28%3A00,17,75.28617830100116,weekend
2023-12-16,06%3A29%3A00,21,141.045739576259,weekend
2023-12-16,06%3A30%3A00,9,50.2572689355578,weekend
2023-12-16,06%3A31%3A00,14,73.25319029874741,weekend
2023-12-16,06%3A32%3A00,26,86.65625484818165,weekend
2023-12-16,06%3A33%3A00,9,0,weekend
2023-12-16,06%3A34%3A00,18,0,weekend
2023-12-16,06%3A35%3A00,21,71.21089237022613,weekend
2023-12-16,06%3A36%3A00,14,0,weekend
2023-12-16,06%3A37%3A00,26,136.3752780144865,weekend
2023-12-16,06%3A38%3A00,27,143.4690443313348,weekend
2023-12-16,06%3A39%3A00,26,0,weekend
2023-12-16,06%3A40%3A00,27,134.6988900051264,weekend
2023-12-16,06%3A41%3A00,24,135.06019938300824,weekend
2023-12-16,06%3A42%3A00,26,135.15164621768514,weekend
2023-12-16,06%3A43%3A00,25,122.32200977454123,weekend
2023-12-16,06%3A44%3A00,20,83.8643740301516,weekend
2023-12-16,06%3A45%3A00,15,0,weekend
2023-12-16,06%3A46%3A00,23,113.9511161350491,weekend
2023-12-16,06%3A47%3A00,24,105.67216385111034,weekend
2023-12-16,06%3A48%3A00,13,0,weekend
2023-12-16,06%3A49%3A00,25,124.359891930388,weekend
2023-12-16,06%3A50%3A00,24,124.359891930388,weekend
2023-12-16,06%3A51%3A00,19,76.63015284469422,weekend
2023-12-16,06%3A52%3A00,23,115.076639300521,weekend
2023-12-16,06%3A53%3A00,25,119.19908827277472,weekend
2023-12-16,06%3A54%3A00,14,87.25103119297584,weekend
2023-12-16,06%3A55%3A00,24,0,weekend
2023-12-16,06%3A56%3A00,24,93.75445110823222,weekend
2023-12-16,06%3A57%3A00,22,89.20046840520403,weekend
2023-12-16,06%3A58%3A00,19,63.68160237625807,weekend
2023-12-16,07%3A00%3A00,22,88.52272447532792,weekend
2023-12-16,07%3A01%3A00,19,81.4347299371368,weekend
2023-12-16,07%3A02%3A00,13,0,weekend
2023-12-16,07%3A03%3A00,16,0,weekend
2023-12-16,07%3A04%3A00,22,0,weekend
2023-12-16,07%3A05%3A00,13,0,weekend
2023-12-16,07%3A06%3A00,11,23.96860074942129,weekend
2023-12-16,07%3A07%3A00,19,70.74715458947438,weekend
2023-12-16,07%3A08%3A00,11,0,weekend
2023-12-16,07%3A09%3A00,11,55.8578667213749,weekend
2023-12-16,07%3A10%3A00,14,79.79714157839382,weekend
2023-12-16,07%3A11%3A00,9,27.76056702227754,weekend
2023-12-16,07%3A12%3A00,12,64.13137425213182,weekend
2023-12-16,07%3A13%3A00,14,80.47580193827238,weekend
2023-12-16,07%3A14%3A00,17,91.13197635006323,weekend
2023-12-16,07%3A15%3A00,15,69.8277370189265,weekend
2023-12-16,07%3A16%3A00,12,67.51888536645244,weekend
2023-12-16,07%3A17%3A00,10,58.02427137342865,weekend
2023-12-16,07%3A18%3A00,14,39.97628418939358,weekend
2023-12-16,07%3A19%3A00,0,[],weekend
2023-12-16,07%3A20%3A00,20,79.17250396179583,weekend
2023-12-16,07%3A21%3A00,24,83.18852425534755,weekend
2023-12-16,07%3A22%3A00,24,95.35927109785459,weekend
2023-12-16,07%3A23%3A00,23,105.72931627203761,weekend
2023-12-16,07%3A24%3A00,16,75.26123473102263,weekend
2023-12-16,07%3A25%3A00,26,92.00941192876473,weekend
2023-12-16,07%3A26%3A00,27,132.95239228310803,weekend
2023-12-16,07%3A27%3A00,30,112.94111665888772,weekend
2023-12-16,07%3A28%3A00,25,83.92591831741868,weekend
2023-12-16,07%3A29%3A00,15,117.7593602994961,weekend
2023-12-16,07%3A30%3A00,23,99.98204420071553,weekend
2023-12-16,07%3A31%3A00,25,115.42167243838867,weekend
2023-12-16,07%3A32%3A00,23,85.75395773309373,weekend
2023-12-16,07%3A33%3A00,27,95.38034006695014,weekend
2023-12-16,07%3A34%3A00,8,40.24513849890869,weekend
2023-12-16,07%3A35%3A00,36,158.80241392318834,weekend
2023-12-16,07%3A36%3A00,30,116.68468681794397,weekend
2023-12-16,07%3A37%3A00,26,92.45013381860888,weekend
2023-12-16,07%3A38%3A00,11,32.94984725242013,weekend
2023-12-16,07%3A39%3A00,14,35.06374162451513,weekend
2023-12-16,07%3A40%3A00,22,73.99903738912072,weekend
2023-12-16,07%3A41%3A00,18,81.22525968645735,weekend
2023-12-16,07%3A42%3A00,19,77.50819346795492,weekend
2023-12-16,07%3A43%3A00,17,90.66568208398432,weekend
2023-12-16,07%3A44%3A00,24,247.88910820748433,weekend
